Abbreviation,abvn
Above Average,AA
Above Ground Level,AGL
Automatic Grenade Launcher,AGL
Above mentioned,a/m
Above noted,a/n
above named,a/n
Above quoted,a/q
Above referred,a/r
Absent Without Leave,AWOL
Acclimatisation,acln
acclimatising,acln
Accommodation,accn
Account,acct
Accounted,acct
Accounting,acct
Accountant,acct
Acknowledge,ack
Acknowledged,ack
Acknowledgement,ack
Acquisition,aqn
Active Air Defence Measures,AADM
Addition,addn
Additional,addl
Addressed,addsd
Adjutant General’s,A
Administration,adm
administrative,adm
administratively,adm
Administrative Area,Adm A
Administrative Order,Adm O
Advance Dressing Station,ADS
Advance Landing Ground,ALG
Advantage,adv
Advantageous,adv
Advance,adv
Advanced,adv
Advanceing,adv
Aerodynamics,adym
After Mission Report,AMR
Afternoon,AN
Air Assault Operation,AAO
Airborne,AB
Airborne Warning and Control System,AWACS
Air Control Team,ACT
Aircraft,ac
Air Defence,AD
Air Defence Alert,ADA
Air Defence Operations Centre,ADOC
Air Headquarters,AHQ
Air Interdiction,AI
Air Raid,AR
Air Raid Precautions,ARP
Ammunition Replenishment Point,ARP
Aviation Reconnaissance Patrol,ARP
Air Support Operations Centre,ASOC
Air Support Signals Unit,ASSU
Air Supply,A Sup
Air to Air Missile,AAM
Air to Surface Missile,ASM
Air to Underwater Missile,AUM
Air Traffic Control,ATC
Airborne Observation Post,ABOP
Allocate,aloc
Allocateed,aloc
Allocateion,aloc
Allotment,almt
Allotted,altd
Allowance,allce
Alternate,altn
Alternately,altn
alternative,altn
Altitude,alt
Ambulance,amb
Amendment,amdt
Ammunition,ammo
Ammunition Point,AP
Armour Piercing,AP
Ammunition Replenishment Point,ARP
Air Raid Precautions,ARP
Aviation Reconnaissance Patrol,ARP
Amphibian,amph
Amphibious,amph
Amplitude Modulated,AM
Animal Transport,AT
Annex,anx
Annual Confidential Report,ACR
Annual Technical Inspection,ATI
Army Training Instructions,ATI
Anti-helicopter borne Operation,A hel op
Anti-personnel,A pers
Anti-Personnel Mine,APM
Anti-Tank,A tk
Anti-Tank Guided Missile,ATGM
Anti-Tank Mine,ATM
Anti-Terrorist Training,ATT
Anti-Terrorists Training,ATT
Appendix,appx
Apply,appl
Applied,appl
Application,appl
Appoint,appt
Appointed,appt
Appointment,appt
Appreciate,aprc
Appreciated,aprc
Appreciation,aprc
Approach,apch
Approached,apch
Approaching,apch
Approximate,approx
Approximately,approx
Approximation,approx
Area of Operation,AOO
Area of Responsibility,AOR
Armament,armt
Armed Forces,AF
Armed Forces Medical College,AFMC
Armed Forces Nursing Service,AFNS
Army Strategic Forces Command,ASFC
Armed Forces Strategic Command,AFSC
Armour,armr
Armour Piercing,AP
Ammunition Point,AP
Armoured,armd
Armoured Command Vehicle,ACV
Armoured Corps,AC
Armoured Fighting Vehicle,AFV
Armoured Personnel Carrier,APC
Armoured Recovery Vehicle,ARV
Armoured Vehicle Launched Bridge,AVLB
Army Air Defence,AAD
Army Air Defence Centre,AADC
Army Air Defence Corps,AADC
Army Air Transport Organisation,AATO
Army Aviation Corps,AAC
Army Dental Corps,ADC
Army Engineers Brigade Group,AEBG
Army Education Corps,AEC
Army Education Certificate,AEC
Army Hatf Training School,AHTS
Army Health Unit,AHU
Army High Altitude School,AHAS
Army Maintenance Area,AMA
Army Medical Corps,AMC
Army Officers’ Benevolent Fund,AOB Fund
Army Photographic Interpretation Section,APIS
Army Photographic Interpretation Unit,APIU
Army Post Office,APO
Army Public School & College System,APSACS
Army School of Music,ASM
Army School of Physical Training,ASPT
Army Service Corps,ASC
Army Standing Establishment Committee,ASEC
Army Subedar Major,ASM
Army Training Instructions,ATI
Annual Technical Inspection,ATI
Army Training Note,ATN
Arrive,arr
Arrived,arr
Arrival,arr
Arriving,arr
Arrange,arng
Arranged,arng
Arrangeing,arng
Arrangement,arng
Artillery,arty
Artillery Reconnaissance,arty R
Assault,aslt
Assaulted,aslt
Assaulting,aslt
Assault Across a Water Obstacle,AWO
Assembly,assy
Assembly Area,assy A
Assign,asg
Assigned,asg
Assigning,asg
Assignment,asg
Assist,asst
Assistance,asst
Assistant,asst
Assisted,asst
Assistant Chief Security Officer,ACSO
Assistant Crossing Control Officer,ACCO
Assistant Dispersal Control Officer,ADCO
As Soon as Possible,ASP
Attach,att
Attached,att
Attachment,att
Attack,attk
Attacked,attk
Attacker,attk
Attacking,attk
Attack Helicopter,AH
Attention,attn
Audit,audt
Audited,audt
Audition,audt
Authorise,auth
Authorised,auth
Authorisation,auth
Authority,auth
Automatic,auto
Automatically,auto
Automated Data Processing System,ADPS
Automatic Grenade Launchers,AGL
Above Ground Level,AGL
Auxiliary,aux
Available,aval
Average,avg
Aviation,avn
Aviation Reconnaissance Patrol,ARP
Air Raid Precautions,ARP
Ammunition Replenishment Point,ARP
Away On Duty,AOD
Azad Kashmir Regiment’s Battalion,AK
Azimuth,az
Background,bkgr
Backload,bkld
Backloaded,bkld
Backloading,bkld
Bailey Bridge,BB
Baktar Shikan,BS
Baktar Shikan Weapon System,BSWS
Balance,bal
Baloch Regiment’s Battalion,Baloch
e.g. 5 Baloch,Baloch
Bandsman,bdsm
bandsmen,bdsm
Barrack,bk
Base Ammunition Depot,BAD
Base Line Menu,BLM
Base of Fire,BOF
Base Ordnance Depot,BOD
Base Supply Depot,BSD
Base Workshop,B Wksp
Battalion,bn
Battalion Headquarters,BHQ
Battalion Routine Orders,BRO
Battery,bty
Battery Command Post,Bty CP
Battle Dress,BD
Bomb Disposal,BD
Battle Group,B gp
Battle Hand Over Line,BHOL
Battle Physical Training,BPT
Battle Position,BP
Bearing Picket,BP
Boundary Pillar,BP
Battlefield,B fd
Below Average,BA
Bench Mark,BM
Between,b/w
Beyond Economical Repair,BER
Beyond Local Repair,BLR
Biennial Evaluation of Combat Effectiveness,BECE
Binocular,bino
Biography,bio
Biographical,bio
Biological and Chemical Warfare,BCW
Biological Warfare,BW
Bivouac,biv
Blueland,BL
Bomb Line,BL
Break in Battle,B in B
Break out Battle,B out B
Boat Off Loading Point,BOLP
Bomb Disposal,BD
Battle Dress,BD
Bomb Line,BL
Blueland,BL
Bombing Report,bomrep
Border Defence Area,BDA
Border Out Post,BOP
Boundary,bdry
Branch,br
Bridge,br
Bridge Marshalling Harbour,BMH
Bridgehead,br H
Brigade,bde
Brigade Administrative Area,BAA
Building,bldg
Built Up Area,BUA
Bulk Breaking Point,BBP
Bulk Bowzer Based Fuel Supply System,B3FS2
Butchery,bchy
Calculate,calc
Calculated,calc
Calculation,calc
Calibrate,cal
Calibration,cal
Calibre,cal
Camouflage,cam
Camouflaged,cam
Camouflage Combat Dress,CCD
Canteen Stores Department,CSD
Cantonment,Cantt
Capability,cap
Care of,c/o
Carrier,Carr
Casual Leave,C/L
Casualty,cas
Casualties,cas
Casualty Car Post,CCP
Casualty Clearing Station,CCS
Casualty Return,CR
Corps Reserves,CR
Categorisation,cat
categorised,cat
category,cat
Cavalry,C
e.g. 11 C,C
Cease Fire Line,CFL
Centilitre,cl
Class,cl
Classification,cl
Classified,cl
Classify,cl
Central Command,CC
